   Line: 'Om® HELLENIC BANK', Bounding box [{'x': 132, 'y': 34}, {'x': 563, 'y': 33}, {'x': 564, 'y': 76}, {'x': 132, 'y': 78}]
   Line: 'PERSONAL BUSINESS INTERNATIONAL THE GROUP GR', Bounding box [{'x': 1279, 'y': 46}, {'x': 1782, 'y': 46}, {'x': 1782, 'y': 72}, {'x': 1279, 'y': 73}]
   Line: 'Accounts Cards Loans Green Products Digital Banking Wealth Insurance', Bounding box [{'x': 144, 'y': 115}, {'x': 1085, 'y': 115}, {'x': 1085, 'y': 152}, {'x': 144, 'y': 152}]
   Line: 'Q & Online Banking', Bounding box [{'x': 1426, 'y': 115}, {'x': 1790, 'y': 115}, {'x': 1790, 'y': 151}, {'x': 1426, 'y': 153}]
   Line: 'Save time,', Bounding box [{'x': 138, 'y': 378}, {'x': 520, 'y': 380}, {'x': 520, 'y': 456}, {'x': 138, 'y': 455}]
   Line: 'start online', Bounding box [{'x': 131, 'y': 473}, {'x': 565, 'y': 475}, {'x': 564, 'y': 545}, {'x': 131, 'y': 543}]
   Line: 'We have you covered. Skip the wait and apply online', Bounding box [{'x': 126, 'y': 576}, {'x': 663, 'y': 575}, {'x': 663, 'y': 614}, {'x': 126, 'y': 616}]
   Line: 'Learn More', Bounding box [{'x': 173, 'y': 700}, {'x': 287, 'y': 701}, {'x': 286, 'y': 737}, {'x': 173, 'y': 736}]
   Line: '8 metra tour', Bounding box [{'x': 1069, 'y': 684}, {'x': 1151, 'y': 673}, {'x': 1155, 'y': 698}, {'x': 1069, 'y': 713}]
   Line: 'GREEN CAR', Bounding box [{'x': 1593, 'y': 1005}, {'x': 1593, 'y': 877}, {'x': 1632, 'y': 877}, {'x': 1631, 'y': 1005}]
   Line: 'MOBILE LENDING PRODUCTS', Bounding box [{'x': 860, 'y': 1025}, {'x': 861, 'y': 677}, {'x': 896, 'y': 677}, {'x': 894, 'y': 1025}]
   Line: 'HOUSING LOANS', Bounding box [{'x': 1476, 'y': 1026}, {'x': 1462, 'y': 776}, {'x': 1508, 'y': 774}, {'x': 1518, 'y': 1025}]
   Line: 'CREDIT CARDS', Bounding box [{'x': 1707, 'y': 1040}, {'x': 1715, 'y': 777}, {'x': 1758, 'y': 778}, {'x': 1747, 'y': 1042}]
   Line: '-', Bounding box [{'x': 939, 'y': 1185}, {'x': 944, 'y': 1117}, {'x': 978, 'y': 1120}, {'x': 975, 'y': 1188}]
   Line: 'Be digital', Bounding box [{'x': 772, 'y': 1260}, {'x': 1140, 'y': 1265}, {'x': 1139, 'y': 1342}, {'x': 772, 'y': 1339}]
   Line: 'We've got you covered', Bounding box [{'x': 637, 'y': 1372}, {'x': 1265, 'y': 1375}, {'x': 1265, 'y': 1440}, {'x': 637, 'y': 1438}]
   Line: 'Online Banking', Bounding box [{'x': 178, 'y': 1564}, {'x': 440, 'y': 1570}, {'x': 439, 'y': 1605}, {'x': 178, 'y': 1602}]
   Line: 'Mobile Banking', Bounding box [{'x': 1027, 'y': 1568}, {'x': 1273, 'y': 1569}, {'x': 1273, 'y': 1608}, {'x': 1026, 'y': 1606}]
   Line: 'The smart way to tap into your', Bounding box [{'x': 169, 'y': 1680}, {'x': 505, 'y': 1676}, {'x': 505, 'y': 1709}, {'x': 169, 'y': 1713}]
   Line: 'manage your day-to-day banking', Bounding box [{'x': 181, 'y': 1722}, {'x': 528, 'y': 1723}, {'x': 528, 'y': 1762}, {'x': 181, 'y': 1761}]
   Line: 'you to manage your accounts,.', Bounding box [{'x': 1017, 'y': 1708}, {'x': 1341, 'y': 1711}, {'x': 1341, 'y': 1748}, {'x': 1017, 'y': 1744}]
   Line: 'online from anyplace at any time.', Bounding box [{'x': 184, 'y': 1753}, {'x': 526, 'y': 1753}, {'x': 527, 'y': 1780}, {'x': 184, 'y': 1782}]
   Line: 'make transfers and pay your bills', Bounding box [{'x': 1019, 'y': 1728}, {'x': 1348, 'y': 1728}, {'x': 1348, 'y': 1763}, {'x': 1019, 'y': 1764}]
   Line: 'online from anyplace, a', Bounding box [{'x': 190, 'y': 1765}, {'x': 418, 'y': 1766}, {'x': 417, 'y': 1795}, {'x': 190, 'y': 1794}]
   Line: 'at home or on the go . Our', Bounding box [{'x': 1016, 'y': 1751}, {'x': 1327, 'y': 1749}, {'x': 1327, 'y': 1786}, {'x': 1016, 'y': 1787}]
   Line: 'featured videos quide you on how', Bounding box [{'x': 1012, 'y': 1775}, {'x': 1364, 'y': 1781}, {'x': 1364, 'y': 1814}, {'x': 1012, 'y': 1809}]
   Line: 'featured videos guide you on hov', Bounding box [{'x': 1016, 'y': 1800}, {'x': 1354, 'y': 1799}, {'x': 1355, 'y': 1831}, {'x': 1016, 'y': 1835}]
   Line: 'you can make use of our most', Bounding box [{'x': 1014, 'y': 1820}, {'x': 1336, 'y': 1818}, {'x': 1337, 'y': 1848}, {'x': 1014, 'y': 1854}]
   Line: 'popular features.', Bounding box [{'x': 1024, 'y': 1843}, {'x': 1206, 'y': 1849}, {'x': 1205, 'y': 1882}, {'x': 1023, 'y': 1878}]
   Line: 'Learn More >', Bounding box [{'x': 184, 'y': 1920}, {'x': 355, 'y': 1920}, {'x': 355, 'y': 1948}, {'x': 184, 'y': 1949}]
   Line: 'Learn More >', Bounding box [{'x': 1026, 'y': 1911}, {'x': 1192, 'y': 1911}, {'x': 1193, 'y': 1942}, {'x': 1026, 'y': 1944}]
   Line: 'Digital Wallets', Bounding box [{'x': 181, 'y': 2075}, {'x': 424, 'y': 2075}, {'x': 424, 'y': 2118}, {'x': 181, 'y': 2117}]
   Line: 'Mple Rewards Scheme', Bounding box [{'x': 1152, 'y': 2073}, {'x': 1541, 'y': 2075}, {'x': 1540, 'y': 2117}, {'x': 1152, 'y': 2116}]
